dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.156660,0.657535,0.000196,0.019608,0.980392,49.019608,0.506380
0.020000,7.156844,0.657637,0.000407,0.010570,-0.451867,-71.612975,0.507034
0.020000,7.158736,0.658690,0.002572,0.108237,4.883313,266.759011,0.508511
0.020000,7.162001,0.660515,0.006313,0.187028,3.939572,-47.187036,0.510986
0.020000,7.166573,0.663089,0.011559,0.262311,3.764141,-8.771559,0.514480
0.020000,7.172451,0.666429,0.018321,0.338078,3.788331,1.209513,0.519023
0.020000,7.179638,0.670561,0.026610,0.414478,3.820008,1.583855,0.524654
0.020000,7.188132,0.675516,0.036444,0.491672,3.859696,1.984368,0.531424
0.020000,7.197934,0.681330,0.047841,0.569853,3.909068,2.468611,0.539391
0.020000,7.209044,0.688050,0.060824,0.649193,3.966977,2.895435,0.548629
0.020000,7.221459,0.695729,0.075423,0.729928,4.036772,3.489781,0.559224
0.020000,7.235178,0.704431,0.091669,0.812293,4.118261,4.074462,0.571277
0.020000,7.250196,0.714228,0.109600,0.896547,4.212689,4.721389,0.584905
0.020000,7.266505,0.725208,0.129260,0.983008,4.323033,5.517170,0.600243
0.020000,7.284092,0.737469,0.150700,1.071991,4.449153,6.306002,0.617450
0.020000,7.302942,0.751127,0.173978,1.163886,4.594753,7.280027,0.636705
0.020000,7.323028,0.766314,0.199159,1.259078,4.759596,8.242119,0.658212
0.020000,7.344100,0.783009,0.226043,1.344199,4.256039,-25.177836,0.681954
0.020000,7.365686,0.800996,0.254141,1.404874,3.033764,-61.113759,0.707633
0.020000,7.387311,0.820008,0.282934,1.439689,1.740745,-64.650952,0.734862
0.020000,7.408715,0.839911,0.312163,1.461416,1.086384,-32.718044,0.763435
0.020000,7.429846,0.860745,0.341837,1.483733,1.115849,1.473265,0.793391
0.020000,7.450642,0.882547,0.371966,1.506445,1.135567,0.985921,0.824754
0.020000,7.471033,0.905345,0.402553,1.529345,1.144994,0.471310,0.857535
0.020000,7.490942,0.929162,0.433596,1.552142,1.139850,-0.257167,0.891728
0.020000,7.510283,0.954013,0.465086,1.574493,1.117572,-1.113906,0.927305
0.020000,7.528962,0.979897,0.497006,1.596022,1.076433,-2.056961,0.964216
0.020000,7.546881,1.006802,0.529332,1.616291,1.013468,-3.148250,1.002383
0.020000,7.563938,1.034697,0.562029,1.634845,0.927687,-4.289068,1.041699
0.020000,7.580031,1.063535,0.595053,1.651212,0.818339,-5.467403,1.082028
0.020000,7.595058,1.093250,0.628352,1.664939,0.686366,-6.598648,1.123208
0.020000,7.608928,1.123758,0.661864,1.675614,0.533776,-7.629485,1.165050
0.020000,7.621556,1.154957,0.695522,1.682898,0.364187,-8.479449,1.207342
0.020000,7.632875,1.186732,0.729253,1.686550,0.182580,-9.080350,1.249861
0.020000,7.642832,1.218958,0.762982,1.686447,-0.005131,-9.385551,1.292373
0.020000,7.651394,1.251502,0.796634,1.682590,-0.192842,-9.385537,1.334647
0.020000,7.658549,1.284232,0.830136,1.675116,-0.373695,-9.042671,1.376457
0.020000,7.664303,1.317016,0.863422,1.664273,-0.542182,-8.424359,1.417596
0.020000,7.668680,1.349733,0.896430,1.650405,-0.693374,-7.559575,1.457876
0.020000,7.671723,1.382269,0.929108,1.633922,-0.824143,-6.538454,1.497134
0.020000,7.673484,1.414527,0.961414,1.615293,-0.931462,-5.365959,1.535239
0.020000,7.674028,1.446422,0.993314,1.594972,-1.016058,-4.229797,1.572085
0.020000,7.673427,1.477885,1.024782,1.573427,-1.077255,-3.059850,1.607597
0.020000,7.671754,1.508861,1.055804,1.551084,-1.117130,-1.993730,1.641724
0.020000,7.669087,1.539311,1.086370,1.528324,-1.137996,-1.043293,1.674442
0.020000,7.665502,1.569206,1.116480,1.505487,-1.141848,-0.192617,1.705745
0.020000,7.661070,1.598530,1.146137,1.482830,-1.132874,0.448702,1.735645
0.020000,7.655864,1.627275,1.175349,1.460609,-1.111070,1.090212,1.764169
0.020000,7.649948,1.655439,1.204128,1.438961,-1.082360,1.435503,1.791352
0.020000,7.643384,1.683030,1.232489,1.418057,-1.045229,1.856507,1.817241
0.020000,7.636227,1.710058,1.260448,1.397964,-1.004659,2.028531,1.841884
0.020000,7.628530,1.736537,1.288023,1.378739,-0.961247,2.170577,1.865338
0.020000,7.620340,1.762483,1.315232,1.360428,-0.915511,2.286820,1.887657
0.020000,7.611698,1.787916,1.342093,1.343037,-0.869549,2.298113,1.908899
0.020000,7.602644,1.812854,1.368624,1.326556,-0.824073,2.273760,1.929121
0.020000,7.593018,1.837665,1.395236,1.330600,0.202211,51.314240,1.952837
0.020000,7.582048,1.863969,1.423736,1.425039,4.721944,225.986620,1.979158
0.020000,7.570208,1.890334,1.452637,1.445046,1.000351,-186.079640,2.006717
0.020000,7.557454,1.916721,1.481945,1.465399,1.017663,0.865602,2.035538
0.020000,7.543738,1.943085,1.511664,1.485927,1.026393,0.436497,2.065630
0.020000,7.529019,1.969372,1.541791,1.506354,1.021322,-0.253567,2.096987
0.020000,7.513259,1.995518,1.572319,1.526421,1.003370,-0.897576,2.129587
0.020000,7.496430,2.021452,1.603235,1.545782,0.968032,-1.766899,2.163386
0.020000,7.478510,2.047092,1.634517,1.564082,0.915020,-2.650580,2.198319
0.020000,7.459490,2.072349,1.666135,1.580917,0.841767,-3.662666,2.234294
0.020000,7.439373,2.097130,1.698053,1.595895,0.748878,-4.644454,2.271197
0.020000,7.418178,2.121333,1.730225,1.608596,0.635046,-5.691584,2.308887
0.020000,7.395941,2.144860,1.762598,1.618650,0.502719,-6.616395,2.347200
0.020000,7.372712,2.167612,1.795113,1.625742,0.354585,-7.406658,2.385952
0.020000,7.348560,2.189496,1.827705,1.629620,0.193915,-8.033499,2.424944
0.020000,7.323564,2.210428,1.860308,1.630129,0.025412,-8.425166,2.463968
0.020000,7.297818,2.230335,1.892852,1.627226,-0.145123,-8.526764,2.502812
0.020000,7.271423,2.249159,1.925271,1.620962,-0.313193,-8.403496,2.541267
0.020000,7.244488,2.266858,1.957502,1.611510,-0.472586,-7.969653,2.579138
0.020000,7.217120,2.283408,1.989484,1.599126,-0.619213,-7.331334,2.616241
0.020000,7.189426,2.298797,2.021167,1.584139,-0.749387,-6.508689,2.652416
0.020000,7.161508,2.313034,2.052505,1.566929,-0.860475,-5.554432,2.687525
0.020000,7.133459,2.326137,2.083464,1.547904,-0.951230,-4.537734,2.721456
0.020000,7.105366,2.338138,2.114013,1.527473,-1.021591,-3.518045,2.754121
0.020000,7.077303,2.349079,2.144134,1.506033,-1.071982,-2.519561,2.785458
0.020000,7.049333,2.359006,2.173813,1.483948,-1.104241,-1.612927,2.815427
0.020000,7.021512,2.367974,2.203044,1.461548,-1.120018,-0.788878,2.844009
0.020000,6.993882,2.376036,2.231826,1.439109,-1.121937,-0.095915,2.871201
0.020000,6.966478,2.383250,2.260163,1.416871,-1.111905,0.501594,2.897016
0.020000,6.939327,2.389672,2.288064,1.395020,-1.092530,0.968753,2.921478
0.020000,6.912447,2.395358,2.315538,1.373709,-1.065576,1.347660,2.944620
0.020000,6.885853,2.400361,2.342599,1.353046,-1.033141,1.621762,2.966482
0.020000,6.859552,2.404733,2.369261,1.333104,-0.997082,1.802964,2.987109
0.020000,6.833548,2.408522,2.395540,1.313937,-0.958345,1.936818,3.006549
0.020000,6.807841,2.411774,2.421451,1.295573,-0.918217,2.006432,3.024852
0.020000,6.782430,2.414531,2.447011,1.278017,-0.877819,2.019911,3.042067
0.020000,6.757310,2.416832,2.472237,1.261263,-0.837667,2.007571,3.058246
0.020000,6.732475,2.418716,2.497143,1.245301,-0.798144,1.976162,3.073435
0.020000,6.707919,2.420215,2.521745,1.230097,-0.760199,1.897262,3.087683
0.020000,6.683633,2.421361,2.546057,1.215623,-0.723655,1.827210,3.101035
0.020000,6.659610,2.422184,2.570094,1.201848,-0.688755,1.744962,3.113534
0.020000,6.635842,2.422711,2.593869,1.188731,-0.655845,1.645505,3.125220
0.020000,6.612318,2.422967,2.617393,1.176233,-0.624947,1.544903,3.136133
0.020000,6.596354,2.422999,2.633358,0.798227,-18.900274,-913.766355,3.142381
0.020000,6.574856,2.422932,2.654856,1.074923,13.834804,1636.753935,3.147021
0.020000,6.553362,2.422765,2.676350,1.074686,-0.011840,-692.332239,3.151645
0.020000,6.531875,2.422500,2.697839,1.074435,-0.012544,-0.035205,3.156254
0.020000,6.510395,2.422135,2.719322,1.074161,-0.013706,-0.058066,3.160846
0.020000,6.488922,2.421673,2.740800,1.073892,-0.013485,0.011022,3.165422
0.020000,6.467457,2.421112,2.762272,1.073619,-0.013614,-0.006458,3.169980
0.020000,6.446001,2.420454,2.783739,1.073319,-0.015003,-0.069446,3.174520
0.020000,6.424554,2.419699,2.805199,1.073021,-0.014899,0.005243,3.179042
0.020000,6.403116,2.418848,2.826653,1.072725,-0.014826,0.003636,3.183545
0.020000,6.381689,2.417900,2.848101,1.072400,-0.016248,-0.071090,3.188028
0.020000,6.360273,2.416857,2.869543,1.072077,-0.016122,0.006271,3.192491
0.020000,6.338868,2.415719,2.890978,1.071755,-0.016124,-0.000111,3.196934
0.020000,6.317476,2.414486,2.912406,1.071406,-0.017434,-0.065480,3.201356
0.020000,6.296095,2.413160,2.933827,1.071062,-0.017193,0.012054,3.205756
0.020000,6.274728,2.411740,2.955242,1.070713,-0.017464,-0.013535,3.210134
0.020000,6.253375,2.410227,2.976649,1.070342,-0.018559,-0.054771,3.214490
0.020000,6.232036,2.408622,2.998048,1.069979,-0.018142,0.020846,3.218823
0.020000,6.210711,2.406926,3.019440,1.069603,-0.018804,-0.033086,3.223133
0.020000,6.189402,2.405138,3.040824,1.069211,-0.019620,-0.040806,3.227419
0.020000,6.168108,2.403260,3.062201,1.068831,-0.018996,0.031181,3.231681
0.020000,6.146830,2.401293,3.083570,1.068428,-0.020112,-0.055784,3.235918
0.020000,6.125569,2.399236,3.104930,1.068018,-0.020516,-0.020180,3.240130
0.020000,6.104324,2.397091,3.126282,1.067619,-0.019976,0.026976,3.244316
0.020000,6.083098,2.394858,3.147626,1.067193,-0.021262,-0.064299,3.248477
0.020000,6.061889,2.392538,3.168962,1.066770,-0.021156,0.005307,3.252612
0.020000,6.040698,2.390132,3.190288,1.066345,-0.021277,-0.006063,3.256720
0.020000,6.019526,2.387640,3.211606,1.065902,-0.022144,-0.043336,3.260800
0.020000,5.998373,2.385063,3.232916,1.065467,-0.021757,0.019353,3.264854
0.020000,5.977240,2.382401,3.254216,1.065017,-0.022481,-0.036216,3.268880
0.020000,5.956126,2.379656,3.275507,1.064560,-0.022865,-0.019209,3.272878
0.020000,5.935033,2.376828,3.296790,1.064109,-0.022516,0.017493,3.276847
0.020000,5.913960,2.373918,3.318062,1.063640,-0.023483,-0.048359,3.280788
0.020000,5.892908,2.370927,3.339326,1.063173,-0.023338,0.007242,3.284699
0.020000,5.871877,2.367855,3.360580,1.062701,-0.023619,-0.014067,3.288582
0.020000,5.850868,2.364703,3.381824,1.062217,-0.024184,-0.028243,3.292435
0.020000,5.829881,2.361471,3.403059,1.061741,-0.023802,0.019104,3.296257
0.020000,5.808915,2.358162,3.424284,1.061249,-0.024595,-0.039672,3.300050
0.020000,5.787972,2.354775,3.445499,1.060757,-0.024604,-0.000441,3.303812
0.020000,5.767052,2.351311,3.466704,1.060263,-0.024694,-0.004504,3.307543
0.020000,5.746154,2.347771,3.487900,1.059758,-0.025226,-0.026582,3.311244
0.020000,5.725280,2.344156,3.509085,1.059259,-0.024990,0.011797,3.314913
0.020000,5.704429,2.340466,3.530260,1.058748,-0.025528,-0.026896,3.318551
0.020000,5.683601,2.336703,3.551424,1.058236,-0.025619,-0.004578,3.322157
0.020000,5.662798,2.332866,3.572579,1.057723,-0.025655,-0.001761,3.325731
0.020000,5.642018,2.328958,3.593723,1.057201,-0.026092,-0.021878,3.329273
0.020000,5.621262,2.324979,3.614856,1.056682,-0.025948,0.007199,3.332783
0.020000,5.600531,2.320928,3.635980,1.056155,-0.026335,-0.019342,3.336260
0.020000,5.579825,2.316809,3.657092,1.055626,-0.026431,-0.004799,3.339704
0.020000,5.559143,2.312620,3.678194,1.055097,-0.026472,-0.002036,3.343116
0.020000,5.538485,2.308364,3.699285,1.054561,-0.026795,-0.016138,3.346494
0.020000,5.517853,2.304040,3.720366,1.054027,-0.026717,0.003885,3.349840
0.020000,5.497246,2.299649,3.741436,1.053487,-0.026999,-0.014124,3.353152
0.020000,5.476664,2.295194,3.762494,1.052945,-0.027074,-0.003743,3.356430
0.020000,5.456107,2.290673,3.783542,1.052403,-0.027135,-0.003033,3.359675
0.020000,5.435575,2.286088,3.804580,1.051856,-0.027347,-0.010582,3.362886
0.020000,5.415069,2.281441,3.825606,1.051309,-0.027325,0.001056,3.366063
0.020000,5.394589,2.276731,3.846621,1.050759,-0.027518,-0.009618,3.369206
0.020000,5.374134,2.271959,3.867625,1.050207,-0.027575,-0.002852,3.372315
0.020000,5.353704,2.267127,3.888618,1.049654,-0.027646,-0.003569,3.375389
0.020000,5.333300,2.262235,3.909600,1.049099,-0.027763,-0.005845,3.378429
0.020000,5.312922,2.257284,3.930571,1.048543,-0.027796,-0.001650,3.381435
0.020000,5.292570,2.252275,3.951531,1.047985,-0.027898,-0.005094,3.384406
0.020000,5.272244,2.247208,3.972479,1.047426,-0.027952,-0.002720,3.387343
0.020000,5.251943,2.242085,3.993417,1.046866,-0.028017,-0.003227,3.390245
0.020000,5.231668,2.236906,4.014343,1.046305,-0.028060,-0.002151,3.393112
0.020000,5.211418,2.231672,4.035258,1.045742,-0.028146,-0.004304,3.395945
0.020000,5.191195,2.226384,4.056161,1.045179,-0.028154,-0.000419,3.398742
0.020000,5.170997,2.221042,4.077053,1.044614,-0.028222,-0.003386,3.401505
0.020000,5.150824,2.215649,4.097934,1.044049,-0.028264,-0.002082,3.404232
0.020000,5.130678,2.210203,4.118804,1.043484,-0.028256,0.000373,3.406925
0.020000,5.110557,2.204706,4.139662,1.042916,-0.028382,-0.006306,3.409582
0.020000,5.090461,2.199160,4.160509,1.042350,-0.028309,0.003694,3.412204
0.020000,5.070391,2.193564,4.181345,1.041782,-0.028397,-0.004403,3.414791
0.020000,5.050346,2.187920,4.202169,1.041214,-0.028406,-0.000478,3.417343
0.020000,5.030327,2.182228,4.222982,1.040647,-0.028369,0.001843,3.419860
0.020000,5.010332,2.176489,4.243784,1.040076,-0.028514,-0.007255,3.422342
0.020000,4.990363,2.170704,4.264574,1.039509,-0.028381,0.006646,3.424788
0.020000,4.970419,2.164874,4.285353,1.038939,-0.028487,-0.005279,3.427199
