dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.843600,1.222609,0.000196,0.019608,0.980392,49.019608,0.505460
0.020000,6.843267,1.222425,0.000577,0.019035,-0.028623,-50.450743,0.506639
0.020000,6.843794,1.222718,0.001180,0.030137,0.555093,29.185780,0.509288
0.020000,6.845116,1.223461,0.002696,0.075846,2.285446,86.517649,0.513698
0.020000,6.846967,1.224512,0.004824,0.106401,1.527734,-37.885615,0.519857
0.020000,6.849343,1.225885,0.007569,0.137202,1.540054,0.616039,0.527752
0.020000,6.852244,1.227594,0.010936,0.168358,1.557827,0.888619,0.537360
0.020000,6.855668,1.229661,0.014936,0.200008,1.582477,1.232536,0.548651
0.020000,6.859617,1.232110,0.019582,0.232322,1.615683,1.660257,0.561583
0.020000,6.864091,1.234971,0.024892,0.265508,1.659306,2.181184,0.576103
0.020000,6.869093,1.238278,0.030889,0.299814,1.715314,2.800400,0.592140
0.020000,6.874628,1.242072,0.037599,0.335527,1.785660,3.517282,0.609608
0.020000,6.880703,1.246400,0.045059,0.372970,1.872143,4.324161,0.628401
0.020000,6.887328,1.251317,0.053309,0.412497,1.976335,5.209601,0.648388
0.020000,6.894514,1.256883,0.062398,0.454476,2.098955,6.130990,0.669418
0.020000,6.902276,1.263165,0.072384,0.499289,2.240636,7.084073,0.691315
0.020000,6.910629,1.270240,0.083330,0.547307,2.400922,8.014263,0.713881
0.020000,6.919499,1.278105,0.095185,0.592740,2.271628,-6.464696,0.736669
0.020000,6.928718,1.286659,0.107761,0.628821,1.804055,-23.378616,0.759045
0.020000,6.938111,1.295766,0.120844,0.654135,1.265688,-26.918378,0.780460
0.020000,6.947588,1.305344,0.134319,0.673763,0.981432,-14.212781,0.800660
0.020000,6.957151,1.315396,0.148193,0.693683,0.996008,0.728790,0.819626
0.020000,6.966800,1.325917,0.162468,0.713760,1.003814,0.390315,0.837349
0.020000,6.976534,1.336902,0.177146,0.733879,1.005952,0.106901,0.853827
0.020000,6.986354,1.348345,0.192225,0.753949,1.003497,-0.122761,0.869062
0.020000,6.996261,1.360237,0.207703,0.773898,0.997464,-0.301667,0.883061
0.020000,7.006257,1.372568,0.223576,0.793674,0.988785,-0.433928,0.895837
0.020000,7.016345,1.385326,0.239841,0.813240,0.978299,-0.524291,0.907401
0.020000,7.026529,1.398500,0.256492,0.832574,0.966731,-0.578412,0.917767
0.020000,7.036815,1.412077,0.273526,0.851669,0.954739,-0.599629,0.926952
0.020000,7.047209,1.426045,0.290936,0.870527,0.942886,-0.592629,0.934968
0.020000,7.057718,1.440390,0.308719,0.889158,0.931587,-0.564961,0.941832
0.020000,7.068354,1.455100,0.326871,0.907583,0.921233,-0.517686,0.947554
0.020000,7.079125,1.470161,0.345388,0.925826,0.912129,-0.455185,0.952147
0.020000,7.090045,1.485561,0.364266,0.943916,0.904498,-0.381557,0.955619
0.020000,7.101127,1.501286,0.383504,0.961887,0.898590,-0.295394,0.957979
0.020000,7.112386,1.517323,0.403099,0.979777,0.894477,-0.205674,0.959232
0.020000,7.123839,1.533661,0.423052,0.997622,0.892255,-0.111073,0.959379
0.020000,7.135504,1.550287,0.443361,1.015462,0.891989,-0.013300,0.958421
