dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.600000,7.300000,0.000196,0.019608,0.980392,49.019608,3.644416
0.020000,4.600000,7.300000,0.000980,0.058824,1.960784,49.019608,3.644800
0.020000,4.600000,7.300000,0.002745,0.117647,2.941176,49.019608,3.645664
0.020000,4.600000,7.300000,0.005686,0.176471,2.941176,-0.000000,3.647106
0.020000,4.599225,7.299569,0.009804,0.235294,2.941176,0.000000,3.649127
0.020000,4.594600,7.296989,0.015098,0.294118,2.941176,-0.000000,3.651732
0.020000,4.588958,7.293820,0.021569,0.352941,2.941176,0.000000,3.654928
0.020000,4.582304,7.290053,0.029216,0.411765,2.941176,0.000000,3.658721
0.020000,4.574644,7.285674,0.038039,0.470588,2.941176,0.000000,3.663121
0.020000,4.565986,7.280670,0.048039,0.529412,2.941176,-0.000000,3.668137
0.020000,4.556339,7.275026,0.059216,0.588235,2.941176,0.000000,3.673780
0.020000,4.545716,7.268725,0.071569,0.647059,2.941176,0.000000,3.680061
0.020000,4.534123,7.261746,0.085098,0.705882,2.941176,0.000000,3.686996
0.020000,4.521580,7.254070,0.099804,0.764706,2.941176,-0.000000,3.694597
0.020000,4.508101,7.245672,0.115686,0.823529,2.941176,0.000000,3.702880
0.020000,4.493700,7.236528,0.132745,0.882353,2.941176,-0.000000,3.711861
0.020000,4.478398,7.226609,0.150980,0.941176,2.941176,0.000000,3.721557
0.020000,4.462379,7.215996,0.170196,0.980392,1.960784,-49.019608,3.731879
0.020000,4.445986,7.204886,0.190000,1.000000,0.980392,-49.019608,3.742628
0.020000,4.429553,7.193485,0.210000,1.000000,0.000000,-49.019608,3.753595
0.020000,4.413247,7.181905,0.230000,1.000000,0.000000,0.000000,3.764672
0.020000,4.397072,7.170145,0.250000,1.000000,0.000000,0.000000,3.775853
0.020000,4.381028,7.158202,0.270000,1.000000,0.000000,0.000000,3.787141
0.020000,4.365122,7.146079,0.290000,1.000000,0.000000,0.000000,3.798526
0.020000,4.349355,7.133774,0.310000,1.000000,0.000000,0.000000,3.810008
0.020000,4.333730,7.121289,0.330000,1.000000,0.000000,0.000000,3.821582
0.020000,4.318253,7.108623,0.350000,1.000000,0.000000,0.000000,3.833243
0.020000,4.302924,7.095777,0.370000,1.000000,0.000000,0.000000,3.844988
0.020000,4.287748,7.082751,0.390000,1.000000,0.000000,0.000000,3.856811
0.020000,4.272727,7.069546,0.410000,1.000000,0.000000,0.000000,3.868708
0.020000,4.257866,7.056163,0.430000,1.000000,0.000000,0.000000,3.880672
0.020000,4.243164,7.042602,0.450000,1.000000,0.000000,0.000000,3.892700
0.020000,4.228629,7.028866,0.470000,1.000000,0.000000,0.000000,3.904783
0.020000,4.214260,7.014953,0.490000,1.000000,0.000000,0.000000,3.916919
0.020000,4.200062,7.000868,0.510000,1.000000,0.000000,0.000000,3.929100
0.020000,4.186037,6.986610,0.530000,1.000000,0.000000,0.000000,3.941320
0.020000,4.172187,6.972182,0.550000,1.000000,0.000000,0.000000,3.953572
0.020000,4.158515,6.957585,0.570000,1.000000,0.000000,0.000000,3.965850
0.020000,4.145024,6.942821,0.590000,1.000000,0.000000,0.000000,3.978149
0.020000,4.131716,6.927893,0.610000,1.000000,0.000000,0.000000,3.990460
0.020000,4.118591,6.912800,0.630000,1.000000,0.000000,0.000000,4.002778
0.020000,4.105655,6.897549,0.650000,1.000000,0.000000,0.000000,4.015094
0.020000,4.092906,6.882138,0.670000,1.000000,0.000000,0.000000,4.027405
0.020000,4.080349,6.866572,0.690000,1.000000,0.000000,0.000000,4.039700
0.020000,4.067983,6.850854,0.710000,1.000000,0.000000,0.000000,4.051975
0.020000,4.055811,6.834984,0.730000,1.000000,0.000000,0.000000,4.064223
0.020000,4.043835,6.818967,0.750000,1.000000,0.000000,0.000000,4.076437
0.020000,4.032054,6.802805,0.770000,1.000000,0.000000,0.000000,4.088610
0.020000,4.020471,6.786501,0.790000,1.000000,0.000000,0.000000,4.100736
0.020000,4.009086,6.770058,0.810000,1.000000,0.000000,0.000000,4.112808
0.020000,3.997899,6.753479,0.830000,1.000000,0.000000,0.000000,4.124821
0.020000,3.986912,6.736767,0.850000,1.000000,0.000000,0.000000,4.136768
0.020000,3.976125,6.719926,0.870000,1.000000,0.000000,0.000000,4.148643
0.020000,3.965538,6.702958,0.890000,1.000000,0.000000,0.000000,4.160442
0.020000,3.955152,6.685867,0.910000,1.000000,0.000000,0.000000,4.172158
0.020000,3.944965,6.668656,0.930000,1.000000,0.000000,0.000000,4.183786
0.020000,3.934978,6.651328,0.950000,1.000000,0.000000,0.000000,4.195322
0.020000,3.925192,6.633886,0.970000,1.000000,0.000000,0.000000,4.206760
0.020000,3.915604,6.616334,0.990000,1.000000,0.000000,0.000000,4.218095
0.020000,3.906215,6.598675,1.010000,1.000000,0.000000,0.000000,4.229325
0.020000,3.897024,6.580912,1.030000,1.000000,0.000000,0.000000,4.240445
0.020000,3.888030,6.563049,1.050000,1.000000,0.000000,0.000000,4.251450
0.020000,3.879232,6.545088,1.070000,1.000000,0.000000,0.000000,4.262338
0.020000,3.870629,6.527033,1.090000,1.000000,0.000000,0.000000,4.273105
0.020000,3.862220,6.508887,1.110000,1.000000,0.000000,0.000000,4.283748
0.020000,3.854003,6.490653,1.130000,1.000000,0.000000,0.000000,4.294265
0.020000,3.845978,6.472334,1.150000,1.000000,0.000000,0.000000,4.304653
0.020000,3.838142,6.453933,1.170000,1.000000,0.000000,0.000000,4.314910
0.020000,3.830493,6.435453,1.190000,1.000000,0.000000,0.000000,4.325035
0.020000,3.823032,6.416898,1.210000,1.000000,0.000000,0.000000,4.335024
0.020000,3.815754,6.398269,1.230000,1.000000,0.000000,0.000000,4.344877
0.020000,3.808659,6.379570,1.250000,1.000000,0.000000,0.000000,4.354592
0.020000,3.801745,6.360803,1.270000,1.000000,0.000000,0.000000,4.364169
0.020000,3.795009,6.341971,1.290000,1.000000,0.000000,0.000000,4.373606
0.020000,3.788451,6.323078,1.310000,1.000000,0.000000,0.000000,4.382903
0.020000,3.782067,6.304124,1.330000,1.000000,0.000000,0.000000,4.392059
0.020000,3.775855,6.285113,1.350000,1.000000,0.000000,0.000000,4.401075
0.020000,3.769813,6.266048,1.370000,1.000000,0.000000,0.000000,4.409949
0.020000,3.763940,6.246929,1.390000,1.000000,0.000000,0.000000,4.418683
0.020000,3.758233,6.227761,1.410000,1.000000,0.000000,0.000000,4.427275
0.020000,3.752689,6.208545,1.430000,1.000000,0.000000,0.000000,4.435728
0.020000,3.747306,6.189283,1.450000,1.000000,0.000000,0.000000,4.444039
0.020000,3.742082,6.169977,1.470000,1.000000,0.000000,0.000000,4.452212
0.020000,3.737015,6.150630,1.490000,1.000000,0.000000,0.000000,4.460246
0.020000,3.732102,6.131243,1.510000,1.000000,0.000000,0.000000,4.468141
0.020000,3.727341,6.111818,1.530000,1.000000,0.000000,0.000000,4.475900
0.020000,3.722730,6.092357,1.550000,1.000000,0.000000,0.000000,4.483523
0.020000,3.718266,6.072861,1.570000,1.000000,0.000000,0.000000,4.491011
0.020000,3.713946,6.053334,1.590000,1.000000,0.000000,0.000000,4.498364
0.020000,3.709769,6.033774,1.610000,1.000000,0.000000,0.000000,4.505586
0.020000,3.705732,6.014187,1.630000,1.000000,0.000000,0.000000,4.512675
0.020000,3.701833,5.994570,1.650000,1.000000,0.000000,0.000000,4.519635
0.020000,3.698069,5.974928,1.670000,1.000000,0.000000,0.000000,4.526466
0.020000,3.694438,5.955260,1.690000,1.000000,0.000000,0.000000,4.533170
0.020000,3.690938,5.935569,1.710000,1.000000,0.000000,0.000000,4.539747
0.020000,3.687566,5.915855,1.730000,1.000000,0.000000,0.000000,4.546201
