dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000196,0.019608,0.980392,49.019608,6.281211
0.020000,0.900000,0.680000,0.000980,0.058824,1.960784,49.019608,6.281396
0.020000,0.900000,0.680000,0.002745,0.117647,2.941176,49.019608,6.281811
0.020000,0.900000,0.680000,0.005686,0.176471,2.941176,-0.000000,6.282504
0.020000,0.901230,0.680000,0.009804,0.235294,2.941176,0.000000,0.000290
0.020000,0.906525,0.680005,0.015098,0.294118,2.941176,-0.000000,0.001544
0.020000,0.912996,0.680020,0.021569,0.352941,2.941176,0.000000,0.003082
0.020000,0.920643,0.680051,0.029216,0.411765,2.941176,0.000000,0.004910
0.020000,0.929466,0.680103,0.038039,0.470588,2.941176,0.000000,0.007032
0.020000,0.939466,0.680186,0.048039,0.529412,2.941176,-0.000000,0.009455
0.020000,0.950639,0.680307,0.059216,0.588235,2.941176,0.000000,0.012184
0.020000,0.962993,0.680476,0.071569,0.647059,2.941176,0.000000,0.015229
0.020000,0.976518,0.680705,0.085098,0.705882,2.941176,0.000000,0.018596
0.020000,0.991223,0.681005,0.099804,0.764706,2.941176,-0.000000,0.022297
0.020000,1.007101,0.681391,0.115686,0.823529,2.941176,0.000000,0.026340
0.020000,1.024152,0.681878,0.132745,0.882353,2.941176,-0.000000,0.030739
0.020000,1.042376,0.682482,0.150980,0.941176,2.941176,0.000000,0.035506
0.020000,1.061580,0.683213,0.170196,0.980392,1.960784,-49.019608,0.040603
0.020000,1.081365,0.684069,0.190000,1.000000,0.980392,-49.019608,0.045937
0.020000,1.101341,0.685042,0.210000,1.000000,0.000000,-49.019608,0.051408
0.020000,1.121312,0.686125,0.230000,1.000000,0.000000,0.000000,0.056966
0.020000,1.141276,0.687320,0.250000,1.000000,0.000000,0.000000,0.062612
0.020000,1.161233,0.688629,0.270000,1.000000,0.000000,0.000000,0.068347
0.020000,1.181182,0.690053,0.290000,1.000000,0.000000,0.000000,0.074175
0.020000,1.201121,0.691593,0.310000,1.000000,0.000000,0.000000,0.080095
0.020000,1.221054,0.693254,0.330000,1.000000,0.000000,0.000000,0.086111
0.020000,1.240973,0.695034,0.350000,1.000000,0.000000,0.000000,0.092222
0.020000,1.260883,0.696938,0.370000,1.000000,0.000000,0.000000,0.098433
0.020000,1.280780,0.698966,0.390000,1.000000,0.000000,0.000000,0.104743
0.020000,1.300662,0.701120,0.410000,1.000000,0.000000,0.000000,0.111154
0.020000,1.320533,0.703404,0.430000,1.000000,0.000000,0.000000,0.117670
0.020000,1.340387,0.705817,0.450000,1.000000,0.000000,0.000000,0.124291
0.020000,1.360222,0.708363,0.470000,1.000000,0.000000,0.000000,0.131018
0.020000,1.380043,0.711044,0.490000,1.000000,0.000000,0.000000,0.137854
0.020000,1.399844,0.713861,0.510000,1.000000,0.000000,0.000000,0.144801
0.020000,1.419624,0.716816,0.530000,1.000000,0.000000,0.000000,0.151859
0.020000,1.439382,0.719912,0.550000,1.000000,0.000000,0.000000,0.159030
0.020000,1.459118,0.723151,0.570000,1.000000,0.000000,0.000000,0.166318
0.020000,1.478830,0.726535,0.590000,1.000000,0.000000,0.000000,0.173722
0.020000,1.498517,0.730066,0.610000,1.000000,0.000000,0.000000,0.181245
0.020000,1.518175,0.733746,0.630000,1.000000,0.000000,0.000000,0.188888
0.020000,1.537804,0.737577,0.650000,1.000000,0.000000,0.000000,0.196653
0.020000,1.557403,0.741562,0.670000,1.000000,0.000000,0.000000,0.204540
0.020000,1.576969,0.745702,0.690000,1.000000,0.000000,0.000000,0.212552
0.020000,1.596501,0.750001,0.710000,1.000000,0.000000,0.000000,0.220689
0.020000,1.615997,0.754459,0.730000,1.000000,0.000000,0.000000,0.228954
0.020000,1.635456,0.759080,0.750000,1.000000,0.000000,0.000000,0.237347
0.020000,1.654875,0.763865,0.770000,1.000000,0.000000,0.000000,0.245869
0.020000,1.674253,0.768817,0.790000,1.000000,0.000000,0.000000,0.254522
0.020000,1.693586,0.773937,0.810000,1.000000,0.000000,0.000000,0.263306
0.020000,1.712874,0.779228,0.830000,1.000000,0.000000,0.000000,0.272222
0.020000,1.732113,0.784693,0.850000,1.000000,0.000000,0.000000,0.281271
0.020000,1.751302,0.790332,0.870000,1.000000,0.000000,0.000000,0.290452
0.020000,1.770437,0.796149,0.890000,1.000000,0.000000,0.000000,0.299767
0.020000,1.789517,0.802145,0.910000,1.000000,0.000000,0.000000,0.309216
0.020000,1.808539,0.808322,0.930000,1.000000,0.000000,0.000000,0.318798
0.020000,1.827499,0.814682,0.950000,1.000000,0.000000,0.000000,0.328513
0.020000,1.846399,0.821228,0.970000,1.000000,0.000000,0.000000,0.338362
0.020000,1.865232,0.827961,0.990000,1.000000,0.000000,0.000000,0.348344
0.020000,1.883995,0.834882,1.010000,1.000000,0.000000,0.000000,0.358457
0.020000,1.902687,0.841994,1.030000,1.000000,0.000000,0.000000,0.368701
0.020000,1.921306,0.849299,1.050000,1.000000,0.000000,0.000000,0.379075
0.020000,1.939847,0.856797,1.070000,1.000000,0.000000,0.000000,0.389577
0.020000,1.958307,0.864491,1.090000,1.000000,0.000000,0.000000,0.400205
0.020000,1.976685,0.872382,1.110000,1.000000,0.000000,0.000000,0.410959
0.020000,1.994976,0.880471,1.130000,1.000000,0.000000,0.000000,0.421834
0.020000,2.013177,0.888760,1.150000,1.000000,0.000000,0.000000,0.432829
0.020000,2.031287,0.897249,1.170000,1.000000,0.000000,0.000000,0.443942
0.020000,2.049298,0.905940,1.190000,1.000000,0.000000,0.000000,0.455167
0.020000,2.067213,0.914834,1.210000,1.000000,0.000000,0.000000,0.466504
0.020000,2.085023,0.923931,1.230000,1.000000,0.000000,0.000000,0.477946
0.020000,2.102729,0.933233,1.250000,1.000000,0.000000,0.000000,0.489493
0.020000,2.120325,0.942738,1.270000,1.000000,0.000000,0.000000,0.501136
0.020000,2.137810,0.952449,1.290000,1.000000,0.000000,0.000000,0.512875
0.020000,2.155178,0.962366,1.310000,1.000000,0.000000,0.000000,0.524702
0.020000,2.172427,0.972488,1.330000,1.000000,0.000000,0.000000,0.536613
0.020000,2.189555,0.982815,1.350000,1.000000,0.000000,0.000000,0.548602
0.020000,2.206556,0.993347,1.370000,1.000000,0.000000,0.000000,0.560664
0.020000,2.223430,1.004085,1.390000,1.000000,0.000000,0.000000,0.572793
0.020000,2.240171,1.015026,1.410000,1.000000,0.000000,0.000000,0.584982
0.020000,2.256777,1.026171,1.430000,1.000000,0.000000,0.000000,0.597225
0.020000,2.273246,1.037520,1.450000,1.000000,0.000000,0.000000,0.609516
0.020000,2.289573,1.049070,1.470000,1.000000,0.000000,0.000000,0.621847
0.020000,2.305756,1.060821,1.490000,1.000000,0.000000,0.000000,0.634212
0.020000,2.321794,1.072771,1.510000,1.000000,0.000000,0.000000,0.646603
0.020000,2.337681,1.084920,1.530000,1.000000,0.000000,0.000000,0.659012
0.020000,2.353416,1.097264,1.550000,1.000000,0.000000,0.000000,0.671433
0.020000,2.368997,1.109803,1.570000,1.000000,0.000000,0.000000,0.683858
0.020000,2.384421,1.122535,1.590000,1.000000,0.000000,0.000000,0.696280
0.020000,2.399686,1.135457,1.610000,1.000000,0.000000,0.000000,0.708690
0.020000,2.414789,1.148568,1.630000,1.000000,0.000000,0.000000,0.721081
0.020000,2.429729,1.161864,1.650000,1.000000,0.000000,0.000000,0.733445
0.020000,2.444503,1.175344,1.670000,1.000000,0.000000,0.000000,0.745775
0.020000,2.459111,1.189005,1.690000,1.000000,0.000000,0.000000,0.758064
0.020000,2.473550,1.202844,1.710000,1.000000,0.000000,0.000000,0.770304
0.020000,2.487818,1.216858,1.730000,1.000000,0.000000,0.000000,0.782487
0.020000,2.501916,1.231044,1.750000,1.000000,0.000000,0.000000,0.794607
0.020000,2.515840,1.245400,1.770000,1.000000,0.000000,0.000000,0.806656
0.020000,2.529592,1.259922,1.790000,1.000000,0.000000,0.000000,0.818629
