dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900949,1.002999,0.000196,0.019608,0.980392,49.019608,6.280246
0.020000,0.900880,1.002999,0.000266,0.003490,-0.805882,-89.313686,6.280462
0.020000,0.900722,1.002999,0.000423,0.007857,0.218316,51.209878,6.280949
0.020000,0.900460,1.003000,0.000685,0.013105,0.262431,2.205764,6.281760
0.020000,0.900093,1.003000,0.001053,0.018370,0.263251,0.041009,6.282898
0.020000,0.903877,1.003002,0.004837,0.189202,8.541593,413.917095,0.001179
0.020000,0.909764,1.003015,0.010723,0.294330,5.256406,-164.259349,0.002976
0.020000,0.916724,1.003043,0.017684,0.348032,2.685072,-128.566732,0.005111
0.020000,0.924749,1.003094,0.025708,0.401232,2.660020,-1.252567,0.007586
0.020000,0.933837,1.003175,0.034797,0.454430,2.659913,-0.005366,0.010407
0.020000,0.943987,1.003297,0.044948,0.507560,2.656496,-0.170865,0.013581
0.020000,0.955197,1.003469,0.056159,0.560555,2.649747,-0.337423,0.017115
0.020000,0.967462,1.003703,0.068426,0.613348,2.639658,-0.504471,0.021017
0.020000,0.980784,1.004011,0.081752,0.666288,2.647003,0.367274,0.025296
0.020000,0.995153,1.004408,0.096127,0.718744,2.622780,-1.211193,0.029960
0.020000,1.010570,1.004909,0.111552,0.771256,2.625621,0.142082,0.035022
0.020000,1.027026,1.005531,0.128019,0.823357,2.605034,-1.029374,0.040491
0.020000,1.044340,1.006283,0.145350,0.866536,2.158922,-22.305566,0.046321
0.020000,1.062159,1.007163,0.163190,0.892014,1.273935,-44.249352,0.052402
0.020000,1.080124,1.008161,0.181183,0.899627,0.380634,-44.665062,0.058619
0.020000,1.098057,1.009270,0.199150,0.898387,-0.062014,-22.132419,0.064912
0.020000,1.115958,1.010491,0.217093,0.897138,-0.062412,-0.019884,0.071282
0.020000,1.133826,1.011825,0.235011,0.895882,-0.062813,-0.020039,0.077730
0.020000,1.151660,1.013272,0.252903,0.894618,-0.063214,-0.020053,0.084255
0.020000,1.169458,1.014834,0.270770,0.893346,-0.063612,-0.019920,0.090859
0.020000,1.187221,1.016512,0.288611,0.892065,-0.064005,-0.019632,0.097542
0.020000,1.204946,1.018307,0.306427,0.890778,-0.064389,-0.019183,0.104304
0.020000,1.222632,1.020220,0.324217,0.889483,-0.064760,-0.018567,0.111146
0.020000,1.240279,1.022251,0.341980,0.888180,-0.065115,-0.017776,0.118069
0.020000,1.257886,1.024402,0.359718,0.886871,-0.065452,-0.016806,0.125072
0.020000,1.275451,1.026673,0.377429,0.885556,-0.065765,-0.015650,0.132156
0.020000,1.292973,1.029066,0.395114,0.884235,-0.066051,-0.014304,0.139322
0.020000,1.310452,1.031582,0.412773,0.882990,-0.062254,0.189830,0.146569
0.020000,1.327887,1.034221,0.430407,0.881674,-0.065809,-0.177734,0.153898
0.020000,1.345276,1.036984,0.448014,0.880348,-0.066297,-0.024414,0.161309
0.020000,1.362617,1.039873,0.465594,0.879018,-0.066463,-0.008306,0.168801
0.020000,1.379910,1.042887,0.483148,0.877687,-0.066582,-0.005954,0.176375
0.020000,1.397154,1.046028,0.500675,0.876354,-0.066650,-0.003392,0.184030
0.020000,1.414346,1.049297,0.518175,0.875021,-0.066662,-0.000618,0.191766
0.020000,1.431486,1.052694,0.535649,0.873688,-0.066615,0.002367,0.199583
0.020000,1.448576,1.056221,0.553099,0.872470,-0.060908,0.285357,0.207481
0.020000,1.465611,1.059878,0.570522,0.871193,-0.063835,-0.146365,0.215460
0.020000,1.482592,1.063666,0.587920,0.869876,-0.065888,-0.102633,0.223518
0.020000,1.499515,1.067586,0.605291,0.868564,-0.065588,0.015016,0.231655
0.020000,1.516380,1.071637,0.622636,0.867260,-0.065207,0.019029,0.239870
0.020000,1.533189,1.075822,0.639958,0.866073,-0.059335,0.293581,0.248163
0.020000,1.549938,1.080140,0.657255,0.864871,-0.060085,-0.037471,0.256533
0.020000,1.566626,1.084593,0.674527,0.863601,-0.063502,-0.170858,0.264979
0.020000,1.583252,1.089181,0.691774,0.862345,-0.062790,0.035610,0.273499
0.020000,1.599816,1.093904,0.708998,0.861205,-0.057041,0.287416,0.282092
0.020000,1.616317,1.098764,0.726200,0.860090,-0.055728,0.065686,0.290758
0.020000,1.632752,1.103760,0.743378,0.858888,-0.060119,-0.219556,0.299495
0.020000,1.649120,1.108893,0.760532,0.857707,-0.059023,0.054777,0.308300
0.020000,1.665424,1.114165,0.777667,0.856757,-0.047507,0.575811,0.317174
0.020000,1.681659,1.119575,0.794780,0.855633,-0.056228,-0.436025,0.326114
0.020000,1.697824,1.125123,0.811870,0.854528,-0.055247,0.049004,0.335116
0.020000,1.713922,1.130810,0.828943,0.853631,-0.044810,0.521874,0.344183
0.020000,1.729948,1.136638,0.845995,0.852625,-0.050314,-0.275188,0.353308
0.020000,1.745901,1.142604,0.863028,0.851613,-0.050603,-0.014487,0.362491
0.020000,1.761784,1.148712,0.880045,0.850843,-0.038527,0.603813,0.371731
0.020000,1.777592,1.154959,0.897043,0.849913,-0.046464,-0.396832,0.381023
0.020000,1.793326,1.161348,0.914024,0.849070,-0.042184,0.213971,0.390366
0.020000,1.808986,1.167878,0.930992,0.848366,-0.035188,0.349806,0.399758
0.020000,1.824570,1.174548,0.947942,0.847546,-0.041012,-0.291197,0.409195
0.020000,1.840078,1.181361,0.964881,0.846929,-0.030805,0.510340,0.418675
0.020000,1.855508,1.188316,0.981806,0.846251,-0.033926,-0.156004,0.428194
0.020000,1.870860,1.195412,0.998719,0.845643,-0.030398,0.176357,0.437750
0.020000,1.886135,1.202650,1.015622,0.845140,-0.025172,0.261333,0.447341
0.020000,1.901329,1.210030,1.032513,0.844571,-0.028432,-0.162995,0.456961
0.020000,1.916445,1.217553,1.049398,0.844222,-0.017436,0.549799,0.466610
0.020000,1.931479,1.225217,1.066272,0.843743,-0.023941,-0.325252,0.476281
0.020000,1.946433,1.233024,1.083142,0.843485,-0.012931,0.550497,0.485975
0.020000,1.961305,1.240972,1.100005,0.843139,-0.017272,-0.217042,0.495686
0.020000,1.976096,1.249063,1.116864,0.842962,-0.008857,0.420733,0.505411
0.020000,1.990804,1.257295,1.133719,0.842752,-0.010503,-0.082329,0.515146
0.020000,2.005430,1.265670,1.150573,0.842672,-0.003984,0.325998,0.524888
0.020000,2.019972,1.274185,1.167424,0.842588,-0.004226,-0.012101,0.534633
0.020000,2.034430,1.282843,1.184277,0.842618,0.001490,0.285778,0.544379
0.020000,2.048804,1.291641,1.201130,0.842651,0.001674,0.009189,0.554121
0.020000,2.063095,1.300580,1.217986,0.842799,0.007377,0.285162,0.563855
0.020000,2.077300,1.309659,1.234845,0.842945,0.007287,-0.004510,0.573578
0.020000,2.091421,1.318879,1.251709,0.843215,0.013505,0.310901,0.583287
0.020000,2.105456,1.328239,1.268578,0.843468,0.012688,-0.040856,0.592978
0.020000,2.119406,1.337738,1.285456,0.843863,0.019716,0.351401,0.602647
0.020000,2.133270,1.347375,1.302340,0.844224,0.018080,-0.081790,0.612290
0.020000,2.147048,1.357152,1.319235,0.844736,0.025576,0.374799,0.621905
0.020000,2.160740,1.367066,1.336139,0.845218,0.024126,-0.072489,0.631488
