dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899051,0.357001,0.000196,0.019608,0.980392,49.019608,6.280246
0.020000,0.899120,0.357001,0.000266,0.003490,-0.805882,-89.313686,6.280462
0.020000,0.899278,0.357001,0.000423,0.007857,0.218316,51.209878,6.280949
0.020000,0.899540,0.357000,0.000685,0.013105,0.262431,2.205764,6.281760
0.020000,0.899907,0.357000,0.001053,0.018370,0.263251,0.041009,6.282898
0.020000,0.904639,0.357003,0.005784,0.236574,10.910184,532.346630,0.001179
0.020000,0.911686,0.357017,0.012831,0.352366,5.789617,-256.028354,0.002976
0.020000,0.920026,0.357051,0.021171,0.416989,3.231123,-127.924699,0.005111
0.020000,0.929649,0.357112,0.030795,0.481179,3.209525,-1.079875,0.007586
0.020000,0.940560,0.357210,0.041706,0.545562,3.219159,0.481699,0.010407
0.020000,0.952761,0.357357,0.053908,0.610087,3.226234,0.353741,0.013581
0.020000,0.966253,0.357564,0.067402,0.674702,3.230744,0.225469,0.017115
0.020000,0.981038,0.357846,0.082189,0.739356,3.232691,0.097383,0.021017
0.020000,0.997123,0.358218,0.098279,0.804500,3.257196,1.225218,0.025296
0.020000,1.014505,0.358698,0.115667,0.869403,3.245167,-0.601432,0.029960
0.020000,1.033190,0.359306,0.134362,0.934752,3.267434,1.113366,0.035022
0.020000,1.053176,0.360060,0.154362,1.000011,3.262986,-0.222415,0.040491
0.020000,1.074253,0.360976,0.175459,1.054842,2.741513,-26.073651,0.046321
0.020000,1.095995,0.362050,0.197228,1.088448,1.680303,-53.060481,0.052402
0.020000,1.117970,0.363271,0.219237,1.100433,0.599269,-54.051738,0.058619
0.020000,1.139961,0.364631,0.241270,1.101653,0.060974,-26.914729,0.064912
0.020000,1.161968,0.366131,0.263327,1.102885,0.061616,0.032081,0.071282
0.020000,1.183989,0.367775,0.285410,1.104129,0.062206,0.029509,0.077730
0.020000,1.206024,0.369564,0.307518,1.105384,0.062744,0.026885,0.084255
0.020000,1.228072,0.371499,0.329651,1.106648,0.063228,0.024210,0.090859
0.020000,1.250133,0.373583,0.351809,1.107922,0.063657,0.021484,0.097542
0.020000,1.272204,0.375818,0.373993,1.109202,0.064032,0.018708,0.104304
0.020000,1.294285,0.378206,0.396203,1.110489,0.064349,0.015885,0.111146
0.020000,1.316375,0.380748,0.418438,1.111781,0.064610,0.013016,0.118069
0.020000,1.338472,0.383448,0.440700,1.113078,0.064812,0.010101,0.125072
0.020000,1.360575,0.386306,0.462988,1.114377,0.064955,0.007144,0.132156
0.020000,1.382684,0.389326,0.485301,1.115677,0.065037,0.004144,0.139322
0.020000,1.404797,0.392508,0.507643,1.117081,0.070192,0.257751,0.146569
