dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900946,1.002999,0.000196,0.019608,0.980392,49.019608,6.280257
0.020000,0.900885,1.002999,0.000257,0.003056,-0.827598,-90.399523,6.280446
0.020000,0.900747,1.002999,0.000395,0.006879,0.191158,50.937809,6.280872
0.020000,0.900518,1.003000,0.000624,0.011475,0.229811,1.932641,6.281582
0.020000,0.900196,1.003000,0.000946,0.016087,0.230575,0.038240,6.282578
0.020000,0.902573,1.003001,0.003323,0.118848,5.138074,245.374941,0.000677
0.020000,0.908535,1.003010,0.009285,0.298117,8.963437,191.268126,0.002251
0.020000,0.915580,1.003032,0.016330,0.352216,2.704963,-312.923677,0.004120
0.020000,0.923700,1.003074,0.024450,0.406028,2.690571,-0.719622,0.006287
0.020000,0.932901,1.003143,0.033652,0.460067,2.701960,0.569458,0.008759
0.020000,0.943180,1.003248,0.043931,0.513954,2.694334,-0.381297,0.011541
0.020000,0.954531,1.003396,0.055283,0.567599,2.682269,-0.603229,0.014639
0.020000,0.966951,1.003599,0.067705,0.621117,2.675878,-0.319553,0.018061
0.020000,0.980444,1.003868,0.081201,0.674786,2.683479,0.380039,0.021815
0.020000,0.995002,1.004216,0.095762,0.728073,2.664341,-0.956928,0.025910
0.020000,1.010615,1.004655,0.111381,0.780970,2.644862,-0.973957,0.030354
0.020000,1.027292,1.005202,0.128068,0.834307,2.666839,1.098877,0.035162
0.020000,1.044836,1.005864,0.145624,0.877835,2.176402,-24.521843,0.040289
0.020000,1.062896,1.006640,0.163701,0.903818,1.299149,-43.862659,0.045641
0.020000,1.081107,1.007522,0.181933,0.911633,0.390742,-45.420364,0.051118
0.020000,1.099288,1.008502,0.200140,0.910331,-0.065100,-22.792110,0.056665
0.020000,1.117438,1.009583,0.218322,0.909118,-0.060649,0.222595,0.062285
0.020000,1.135563,1.010765,0.236486,0.908166,-0.047576,0.653624,0.067981
0.020000,1.153654,1.012049,0.254623,0.906844,-0.066113,-0.926835,0.073750
0.020000,1.171711,1.013436,0.272733,0.905522,-0.066084,0.001442,0.079595
0.020000,1.189735,1.014927,0.290818,0.904261,-0.063092,0.149619,0.085516
0.020000,1.207729,1.016524,0.308883,0.903229,-0.051557,0.576749,0.091517
0.020000,1.225686,1.018227,0.326920,0.901881,-0.067408,-0.792593,0.097595
0.020000,1.243605,1.020037,0.344931,0.900531,-0.067494,-0.004283,0.103752
0.020000,1.261486,1.021955,0.362915,0.899179,-0.067608,-0.005712,0.109989
0.020000,1.279329,1.023982,0.380872,0.897894,-0.064255,0.167685,0.116307
0.020000,1.297136,1.026121,0.398807,0.896721,-0.058666,0.279427,0.122709
0.020000,1.314901,1.028370,0.416714,0.895337,-0.069199,-0.526652,0.129192
0.020000,1.332623,1.030731,0.434593,0.893949,-0.069385,-0.009302,0.135759
0.020000,1.350302,1.033206,0.452444,0.892557,-0.069588,-0.010145,0.142411
0.020000,1.367936,1.035795,0.470267,0.891161,-0.069805,-0.010853,0.149146
0.020000,1.385525,1.038499,0.488062,0.889761,-0.070033,-0.011414,0.155968
0.020000,1.403067,1.041320,0.505830,0.888394,-0.068340,0.084682,0.162876
0.020000,1.420564,1.044257,0.523572,0.887078,-0.065804,0.126794,0.169872
0.020000,1.438011,1.047314,0.541285,0.885644,-0.071662,-0.292921,0.176955
0.020000,1.455408,1.050489,0.558969,0.884207,-0.071874,-0.010558,0.184126
0.020000,1.472753,1.053784,0.576624,0.882765,-0.072078,-0.010204,0.191386
0.020000,1.490045,1.057200,0.594250,0.881320,-0.072271,-0.009648,0.198735
0.020000,1.507283,1.060739,0.611848,0.879871,-0.072448,-0.008882,0.206173
0.020000,1.524466,1.064400,0.629416,0.878419,-0.072606,-0.007897,0.213701
0.020000,1.541592,1.068185,0.646955,0.876964,-0.072740,-0.006686,0.221319
0.020000,1.558660,1.072094,0.664466,0.875507,-0.072845,-0.005243,0.229027
0.020000,1.575669,1.076129,0.681947,0.874049,-0.072916,-0.003559,0.236826
0.020000,1.592617,1.080290,0.699398,0.872590,-0.072949,-0.001632,0.244714
0.020000,1.609504,1.084579,0.716821,0.871131,-0.072938,0.000546,0.252693
0.020000,1.626327,1.088995,0.734214,0.869674,-0.072878,0.002976,0.260763
0.020000,1.643086,1.093540,0.751579,0.868218,-0.072765,0.005662,0.268922
0.020000,1.659779,1.098215,0.768914,0.866766,-0.072593,0.008604,0.277171
0.020000,1.676405,1.103020,0.786221,0.865319,-0.072357,0.011803,0.285509
0.020000,1.692963,1.107955,0.803498,0.863878,-0.072052,0.015258,0.293936
0.020000,1.709451,1.113023,0.820747,0.862445,-0.071672,0.018965,0.302451
0.020000,1.725867,1.118223,0.837967,0.861021,-0.071214,0.022921,0.311054
0.020000,1.742212,1.123556,0.855160,0.859648,-0.068641,0.128628,0.319743
0.020000,1.758485,1.129023,0.872327,0.858315,-0.066659,0.099101,0.328519
0.020000,1.774682,1.134624,0.889465,0.856933,-0.069070,-0.120556,0.337380
0.020000,1.790803,1.140360,0.906577,0.855567,-0.068282,0.039425,0.346324
0.020000,1.806847,1.146232,0.923661,0.854220,-0.067391,0.044529,0.355350
0.020000,1.822812,1.152239,0.940719,0.852892,-0.066395,0.049825,0.364457
0.020000,1.838697,1.158383,0.957751,0.851586,-0.065289,0.055298,0.373643
0.020000,1.854502,1.164664,0.974758,0.850362,-0.061204,0.204251,0.382907
0.020000,1.870226,1.171083,0.991742,0.849197,-0.058229,0.148755,0.392248
0.020000,1.885867,1.177639,1.008701,0.847972,-0.061272,-0.152156,0.401663
0.020000,1.901423,1.184334,1.025637,0.846777,-0.059729,0.077117,0.411149
0.020000,1.916894,1.191167,1.042549,0.845616,-0.058065,0.083219,0.420705
0.020000,1.932279,1.198140,1.059440,0.844565,-0.052557,0.275408,0.430329
0.020000,1.947578,1.205252,1.076312,0.843564,-0.050063,0.124710,0.440018
0.020000,1.962788,1.212504,1.093162,0.842514,-0.052470,-0.120344,0.449770
0.020000,1.977908,1.219895,1.109992,0.841507,-0.050337,0.106618,0.459580
0.020000,1.992939,1.227426,1.126804,0.840609,-0.044920,0.270851,0.469448
0.020000,2.007880,1.235099,1.143600,0.839795,-0.040714,0.210333,0.479371
0.020000,2.022728,1.242912,1.160379,0.838926,-0.043456,-0.137101,0.489344
0.020000,2.037484,1.250864,1.177141,0.838108,-0.040867,0.129438,0.499364
0.020000,2.052147,1.258959,1.193890,0.837474,-0.031720,0.457328,0.509430
0.020000,2.066717,1.267195,1.210626,0.836795,-0.033962,-0.112068,0.519536
0.020000,2.081191,1.275570,1.227349,0.836139,-0.032772,0.059470,0.529679
0.020000,2.095570,1.284088,1.244062,0.835627,-0.025620,0.357626,0.539857
0.020000,2.109854,1.292746,1.260765,0.835161,-0.023308,0.115570,0.550065
0.020000,2.124040,1.301546,1.277458,0.834683,-0.023896,-0.029403,0.560299
