dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000196,0.019608,0.980392,49.019608,6.280257
0.020000,0.900000,0.680000,0.000980,0.058824,1.960784,49.019608,6.280446
0.020000,0.900000,0.680000,0.002745,0.117647,2.941176,49.019608,6.280872
0.020000,0.900000,0.680000,0.005686,0.176471,2.941176,-0.000000,6.281582
0.020000,0.900000,0.680000,0.009804,0.235294,2.941176,0.000000,6.282578
0.020000,0.902792,0.680001,0.015098,0.294118,2.941176,-0.000000,0.000677
0.020000,0.909263,0.680010,0.021569,0.352941,2.941176,0.000000,0.002251
0.020000,0.916910,0.680035,0.029216,0.411765,2.941176,0.000000,0.004120
0.020000,0.925731,0.680081,0.038039,0.470588,2.941176,0.000000,0.006287
0.020000,0.935730,0.680156,0.048039,0.529412,2.941176,-0.000000,0.008759
0.020000,0.946907,0.680269,0.059216,0.588235,2.941176,0.000000,0.011541
0.020000,0.959259,0.680431,0.071569,0.647059,2.941176,0.000000,0.014639
0.020000,0.972785,0.680652,0.085098,0.705882,2.941176,0.000000,0.018061
0.020000,0.987490,0.680945,0.099804,0.764706,2.941176,-0.000000,0.021815
0.020000,1.003370,0.681324,0.115686,0.823529,2.941176,0.000000,0.025910
0.020000,1.020418,0.681804,0.132745,0.882353,2.941176,-0.000000,0.030354
0.020000,1.038647,0.682401,0.150980,0.941176,2.941176,0.000000,0.035162
0.020000,1.057846,0.683126,0.170196,0.980392,1.960784,-49.019608,0.040289
0.020000,1.077633,0.683976,0.190000,1.000000,0.980392,-49.019608,0.045641
0.020000,1.097611,0.684943,0.210000,1.000000,0.000000,-49.019608,0.051118
0.020000,1.117581,0.686021,0.230000,1.000000,0.000000,0.000000,0.056665
0.020000,1.137543,0.687209,0.250000,1.000000,0.000000,0.000000,0.062285
0.020000,1.157503,0.688511,0.270000,1.000000,0.000000,0.000000,0.067981
0.020000,1.177454,0.689927,0.290000,1.000000,0.000000,0.000000,0.073750
0.020000,1.197393,0.691459,0.310000,1.000000,0.000000,0.000000,0.079595
0.020000,1.217323,0.693108,0.330000,1.000000,0.000000,0.000000,0.085516
0.020000,1.237247,0.694876,0.350000,1.000000,0.000000,0.000000,0.091517
0.020000,1.257159,0.696764,0.370000,1.000000,0.000000,0.000000,0.097595
0.020000,1.277057,0.698774,0.390000,1.000000,0.000000,0.000000,0.103752
0.020000,1.296941,0.700907,0.410000,1.000000,0.000000,0.000000,0.109989
0.020000,1.316812,0.703165,0.430000,1.000000,0.000000,0.000000,0.116307
