dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.843099,7.017668,0.000196,0.019608,0.980392,49.019608,5.775952
0.020000,6.843347,7.017531,0.000480,0.014189,-0.270958,-62.567495,5.776140
0.020000,6.845007,7.016609,0.002378,0.094915,4.036313,215.363562,5.776554
0.020000,6.847765,7.015080,0.005532,0.157696,3.139042,-44.863551,5.777212
0.020000,6.851610,7.012951,0.009927,0.219736,3.101991,-1.852563,5.778070
0.020000,6.856525,7.010237,0.015542,0.280742,3.050308,-2.584147,5.779063
0.020000,6.862488,7.006951,0.022350,0.340427,2.984242,-3.303297,5.780109
0.020000,6.869473,7.003112,0.030320,0.398505,2.903934,-4.015401,5.781109
0.020000,6.877447,6.998739,0.039414,0.454694,2.809445,-4.724443,5.781946
0.020000,6.886371,6.993853,0.049588,0.508709,2.700754,-5.434560,5.782486
0.020000,6.896201,6.988475,0.060794,0.560262,2.577621,-6.156651,5.782575
0.020000,6.906886,6.982627,0.072975,0.609051,2.439476,-6.907271,5.782042
0.020000,6.918367,6.976328,0.086070,0.654759,2.285368,-7.705384,5.780698
0.020000,6.930577,6.969601,0.100010,0.697036,2.113866,-8.575119,5.778329
0.020000,6.943440,6.962464,0.114720,0.735493,1.922851,-9.550728,5.774699
0.020000,6.956867,6.954937,0.130114,0.769684,1.709529,-10.666086,5.769544
0.020000,6.970761,6.947037,0.146096,0.799089,1.470280,-11.962479,5.762567
0.020000,6.984864,6.938869,0.162394,0.814927,0.791903,-33.918861,5.753536
0.020000,6.998798,6.930610,0.178592,0.809870,-0.252865,-52.238377,5.742371
0.020000,7.012221,6.922432,0.194310,0.785892,-1.198876,-47.300555,5.729113
0.020000,7.024960,6.914419,0.209359,0.752491,-1.670065,-23.559435,5.713788
0.020000,7.036983,6.906577,0.223714,0.717717,-1.738687,-3.431114,5.696310
0.020000,7.048260,6.898921,0.237344,0.681489,-1.811427,-3.637022,5.676589
0.020000,7.058759,6.891468,0.250219,0.643774,-1.885751,-3.716189,5.654532
0.020000,7.068454,6.884242,0.262311,0.604609,-1.958260,-3.625415,5.630051
0.020000,7.077324,6.877269,0.273594,0.564126,-2.024126,-3.293320,5.603063
0.020000,7.085354,6.870580,0.284045,0.522571,-2.077736,-2.680502,5.573502
0.020000,7.092543,6.864207,0.293652,0.480336,-2.111749,-1.700664,5.541326
0.020000,7.098900,6.858180,0.302411,0.437977,-2.117946,-0.309815,5.506527
0.020000,7.104450,6.852524,0.310336,0.396232,-2.087257,1.534411,5.469143
0.020000,7.109238,6.847253,0.317456,0.356020,-2.010622,3.831773,5.429270
0.020000,7.113322,6.842368,0.323825,0.318417,-1.880118,6.525185,5.387068
0.020000,7.116781,6.837847,0.329517,0.284609,-1.690414,9.485227,5.342773
0.020000,7.119703,6.833647,0.334633,0.255803,-1.440310,12.505178,5.296694
0.020000,7.122184,6.829699,0.339295,0.233122,-1.134033,15.313850,5.249211
0.020000,7.124318,6.825909,0.343645,0.217486,-0.781828,17.610265,5.200759
0.020000,7.126193,6.822163,0.347835,0.209496,-0.399508,19.116007,5.151813
0.020000,7.127881,6.818331,0.352022,0.209357,-0.006939,19.628412,5.102858
0.020000,7.129433,6.814281,0.356359,0.216853,0.374789,19.086437,5.054367
0.020000,7.130879,6.809885,0.360987,0.231374,0.726044,17.562714,5.006776
0.020000,7.132227,6.805029,0.366027,0.251994,1.031044,15.250040,4.960461
0.020000,7.133466,6.799617,0.371578,0.277588,1.279687,12.432122,4.915731
0.020000,7.134574,6.793579,0.377717,0.306946,1.467888,9.410060,4.872819
0.020000,7.135516,6.786867,0.384495,0.338883,1.596865,6.448842,4.831885
0.020000,7.136256,6.779458,0.391941,0.372316,1.671617,3.737604,4.793020
0.020000,7.136758,6.771347,0.400068,0.406316,1.700044,1.421368,4.756261
0.020000,7.136988,6.762547,0.408870,0.440127,1.690530,-0.475691,4.721595
0.020000,7.136960,6.750374,0.421043,0.608640,8.425650,336.755956,4.704002
0.020000,7.136722,6.734954,0.436465,0.771120,8.123975,-15.083743,4.689830
0.020000,7.136268,6.719782,0.451644,0.758923,-0.609842,-436.690858,4.674904
0.020000,7.135593,6.704880,0.466561,0.745860,-0.653140,-2.164855,4.659169
0.020000,7.134695,6.690271,0.481198,0.731839,-0.701054,-2.395727,4.642564
0.020000,7.133571,6.675980,0.495533,0.716766,-0.753643,-2.629452,4.625026
0.020000,7.132221,6.662034,0.509545,0.700576,-0.809505,-2.793087,4.606487
0.020000,7.130645,6.648460,0.523209,0.683221,-0.867763,-2.912923,4.586874
0.020000,7.128846,6.635290,0.536502,0.664629,-0.929586,-3.091131,4.566108
0.020000,7.126829,6.622555,0.549396,0.644713,-0.995802,-3.310827,4.544109
0.020000,7.124599,6.610287,0.561864,0.623430,-1.064128,-3.416286,4.520794
0.020000,7.122168,6.598520,0.573880,0.600762,-1.133436,-3.465401,4.496074
0.020000,7.119548,6.587288,0.585414,0.576694,-1.203396,-3.498009,4.469864
0.020000,7.116754,6.576623,0.596438,0.551236,-1.272861,-3.473256,4.442079
0.020000,7.113807,6.566555,0.606928,0.524501,-1.336779,-3.195859,4.412637
0.020000,7.110730,6.557112,0.616860,0.496597,-1.395210,-2.921579,4.381468
0.020000,7.107548,6.548315,0.626215,0.467742,-1.442741,-2.376529,4.348512
0.020000,7.104289,6.540179,0.634980,0.438238,-1.475193,-1.622619,4.313729
0.020000,7.100983,6.532708,0.643150,0.408498,-1.487009,-0.590789,4.277105
0.020000,7.097658,6.525895,0.650731,0.379044,-1.472674,0.716754,4.238657
0.020000,7.094337,6.519721,0.657741,0.350510,-1.426694,2.298978,4.198443
0.020000,7.091040,6.514151,0.664214,0.323643,-1.343346,4.167411,4.156565
0.020000,7.087775,6.509135,0.670199,0.299255,-1.219438,6.195385,4.113176
0.020000,7.084536,6.504611,0.675763,0.278206,-1.052412,8.351308,4.068485
0.020000,7.081305,6.500502,0.680990,0.261335,-0.843555,10.442866,4.022749
0.020000,7.078044,6.496729,0.685977,0.249388,-0.597388,12.308361,3.976273
0.020000,7.074698,6.493205,0.690836,0.242947,-0.322029,13.767932,3.929398
0.020000,7.071199,6.489850,0.695684,0.242379,-0.028380,14.682460,3.882488
0.020000,7.067465,6.486592,0.700640,0.247777,0.269903,14.914118,3.835912
0.020000,7.063409,6.483371,0.705819,0.258967,0.559495,14.479618,3.790029
0.020000,7.058942,6.480144,0.711329,0.275514,0.827314,13.390959,3.745171
0.020000,7.053982,6.476885,0.717265,0.296774,1.063016,11.785094,3.701629
0.020000,7.048454,6.473582,0.723704,0.321964,1.259512,9.824804,3.659647
0.020000,7.042299,6.470239,0.730708,0.350229,1.413261,7.687473,3.619415
0.020000,7.035470,6.466871,0.738323,0.380710,1.524006,5.537233,3.581070
0.020000,7.027938,6.463499,0.746575,0.412601,1.594562,3.527781,3.544700
0.020000,7.019688,6.460151,0.755478,0.445184,1.629148,1.729298,3.510348
0.020000,7.010718,6.456854,0.765035,0.477853,1.633460,0.215625,3.478018
0.020000,7.001036,6.453635,0.775238,0.510116,1.613144,-1.015815,3.447686
0.020000,6.990662,6.450521,0.786070,0.541602,1.574311,-1.941638,3.419303
0.020000,6.979618,6.447534,0.797511,0.572036,1.521704,-2.630371,3.392805
0.020000,6.967934,6.444691,0.809535,0.601235,1.459948,-3.087784,3.368114
0.020000,6.955641,6.442009,0.822117,0.629084,1.392435,-3.375660,3.345148
0.020000,6.942773,6.439499,0.835228,0.655536,1.322609,-3.491306,3.323820
0.020000,6.929363,6.437167,0.848839,0.680579,1.252164,-3.522228,3.304042
0.020000,6.915443,6.435019,0.862924,0.704242,1.183132,-3.451616,3.285730
0.020000,6.901045,6.433055,0.877455,0.726567,1.116277,-3.342766,3.268799
0.020000,6.886199,6.431277,0.892408,0.747623,1.052759,-3.175871,3.253173
0.020000,6.870932,6.429679,0.907757,0.767483,0.992998,-2.988077,3.238776
0.020000,6.855272,6.428259,0.923482,0.786229,0.937323,-2.783717,3.225540
0.020000,6.839242,6.427010,0.939561,0.803946,0.885862,-2.573052,3.213400
0.020000,6.822863,6.425925,0.955975,0.820715,0.838453,-2.370451,3.202299
0.020000,6.806157,6.424996,0.972708,0.836614,0.794913,-2.177018,3.192183
0.020000,6.789140,6.424214,0.989742,0.851731,0.755871,-1.952086,3.183002
0.020000,6.771829,6.423570,1.007065,0.866136,0.720245,-1.781315,3.174714
0.020000,6.754239,6.423054,1.024663,0.879901,0.688269,-1.598767,3.167277
0.020000,6.736381,6.422656,1.042525,0.893102,0.660059,-1.410514,3.160658
0.020000,6.718268,6.422364,1.060641,0.905801,0.634935,-1.256202,3.154826
0.020000,6.699907,6.422169,1.079002,0.918061,0.612970,-1.098234,3.149752
0.020000,6.681309,6.422059,1.097601,0.929941,0.594008,-0.948127,3.145414
0.020000,6.662479,6.422022,1.116431,0.941499,0.577906,-0.805072,3.141792
0.020000,6.643423,6.422048,1.135487,0.952790,0.564543,-0.668165,3.138868
0.020000,6.624146,6.422123,1.154764,0.963866,0.553814,-0.536448,3.136631
0.020000,6.604651,6.422236,1.174260,0.974779,0.545635,-0.408936,3.135069
0.020000,6.584940,6.422374,1.193971,0.985578,0.539943,-0.284634,3.134176
0.020000,6.565014,6.422525,1.213897,0.996311,0.536692,-0.162552,3.133948
0.020000,6.544874,6.422676,1.234038,1.007029,0.535858,-0.041708,3.134383
0.020000,6.524519,6.422813,1.254394,1.017777,0.537435,0.078865,3.135484
0.020000,6.503947,6.422921,1.274966,1.028606,0.541437,0.200119,3.137255
0.020000,6.483156,6.422987,1.295757,1.039564,0.547897,0.322985,3.139705
0.020000,6.470303,6.423000,1.308610,0.642669,-19.844743,-1019.632021,3.140656
0.020000,6.451895,6.422958,1.327018,0.920397,13.886391,1686.556700,3.146211
0.020000,6.430079,6.422796,1.348834,1.090804,8.520336,-268.302744,3.151834
0.020000,6.408243,6.422511,1.370673,1.091910,0.055309,-423.251317,3.157528
0.020000,6.386386,6.422099,1.392533,1.093036,0.056311,0.050071,3.163292
0.020000,6.364509,6.421561,1.414417,1.094181,0.057269,0.047903,3.169128
0.020000,6.342610,6.420893,1.436326,1.095469,0.064384,0.355784,3.175038
0.020000,6.320691,6.420094,1.458260,1.096673,0.060209,-0.208784,3.181021
0.020000,6.298754,6.419162,1.480217,1.097851,0.058895,-0.065697,3.187078
0.020000,6.276799,6.418096,1.502198,1.099045,0.059686,0.039546,3.193210
0.020000,6.254827,6.416892,1.524203,1.100253,0.060428,0.037134,3.199417
0.020000,6.232838,6.415550,1.546232,1.101476,0.061122,0.034667,3.205700
0.020000,6.210834,6.414067,1.568286,1.102711,0.061765,0.032145,3.212060
0.020000,6.188814,6.412442,1.590366,1.103958,0.062356,0.029570,3.218497
0.020000,6.166781,6.410672,1.612470,1.105216,0.062895,0.026942,3.225013
0.020000,6.144735,6.408756,1.634600,1.106484,0.063380,0.024263,3.231606
0.020000,6.122676,6.406691,1.656755,1.107760,0.063811,0.021533,3.238279
0.020000,6.100606,6.404475,1.678936,1.109044,0.064186,0.018753,3.245031
0.020000,6.078526,6.402107,1.701142,1.110334,0.064504,0.015926,3.251864
0.020000,6.056437,6.399584,1.723375,1.111629,0.064766,0.013053,3.258776
0.020000,6.034340,6.396904,1.745634,1.112928,0.064968,0.010135,3.265769
0.020000,6.012237,6.394066,1.767918,1.114231,0.065112,0.007174,3.272843
0.020000,5.990129,6.391067,1.790229,1.115535,0.065195,0.004171,3.279999
0.020000,5.968017,6.387906,1.812566,1.116839,0.065218,0.001129,3.287235
0.020000,5.945903,6.384579,1.834928,1.118143,0.065179,-0.001951,3.294553
0.020000,5.923788,6.381086,1.857317,1.119448,0.065269,0.004536,3.301953
0.020000,5.901671,6.377424,1.879735,1.120889,0.072032,0.338145,3.309435
0.020000,5.879557,6.373591,1.902179,1.122192,0.065183,-0.342450,3.316998
0.020000,5.857447,6.369586,1.924649,1.123489,0.064860,-0.016187,3.324643
0.020000,5.835344,6.365406,1.947144,1.124779,0.064471,-0.019441,3.332369
0.020000,5.813248,6.361049,1.969666,1.126059,0.064016,-0.022715,3.340176
0.020000,5.791162,6.356514,1.992212,1.127329,0.063496,-0.026005,3.348064
0.020000,5.769088,6.351799,2.014784,1.128614,0.064242,0.037267,3.356031
0.020000,5.747024,6.346901,2.037385,1.130052,0.071920,0.383937,3.364080
0.020000,5.724976,6.341819,2.060011,1.131288,0.061804,-0.505811,3.372207
0.020000,5.702947,6.336551,2.082661,1.132508,0.060985,-0.040980,3.380413
0.020000,5.680939,6.331096,2.105336,1.133710,0.060098,-0.044307,3.388696
0.020000,5.658952,6.325452,2.128035,1.134977,0.063359,0.163011,3.397055
0.020000,5.636988,6.319617,2.150761,1.136312,0.066764,0.170248,3.405492
0.020000,5.615052,6.313589,2.173511,1.137455,0.057132,-0.481556,3.414003
0.020000,5.593146,6.307369,2.196282,1.138574,0.055949,-0.059199,3.422587
0.020000,5.571272,6.300953,2.219078,1.139782,0.060413,0.223212,3.431243
0.020000,5.549431,6.294339,2.241898,1.141013,0.061534,0.056048,3.439972
0.020000,5.527629,6.287529,2.264739,1.142052,0.051960,-0.478690,3.448769
0.020000,5.505869,6.280520,2.287600,1.143063,0.050533,-0.071341,3.457633
0.020000,5.484148,6.273310,2.310487,1.144330,0.063360,0.641359,3.466565
0.020000,5.462474,6.265899,2.333392,1.145274,0.047210,-0.807535,3.475560
0.020000,5.440851,6.258287,2.356316,1.146185,0.045529,-0.084005,3.484617
0.020000,5.419277,6.250471,2.379263,1.147336,0.057545,0.600785,3.493736
0.020000,5.397759,6.242452,2.402227,1.148190,0.042696,-0.742475,3.502912
0.020000,5.376300,6.234229,2.425207,1.149022,0.041591,-0.055224,3.512144
0.020000,5.354899,6.225800,2.448208,1.150039,0.050873,0.464089,3.521430
0.020000,5.333564,6.217167,2.471223,1.150752,0.035626,-0.762349,3.530767
0.020000,5.312296,6.208329,2.494254,1.151565,0.040659,0.251631,3.540152
0.020000,5.291098,6.199285,2.517301,1.152339,0.038707,-0.097593,3.549584
0.020000,5.269976,6.190036,2.540359,1.152918,0.028972,-0.486758,3.559058
0.020000,5.248928,6.180580,2.563434,1.153735,0.040855,0.594154,3.568573
0.020000,5.227962,6.170920,2.586518,1.154216,0.024039,-0.840790,3.578124
0.020000,5.207078,6.161055,2.609615,1.154828,0.030591,0.327604,3.587710
0.020000,5.186282,6.150985,2.632721,1.155307,0.023974,-0.330831,3.597327
0.020000,5.165575,6.140712,2.655836,1.155740,0.021617,-0.117843,3.606972
0.020000,5.144961,6.130235,2.678959,1.156182,0.022096,0.023918,3.616642
0.020000,5.124445,6.119557,2.702089,1.156457,0.013784,-0.415603,3.626332
0.020000,5.104026,6.108676,2.725225,1.156831,0.018681,0.244840,3.636041
0.020000,5.083712,6.097597,2.748364,1.156969,0.006887,-0.589679,3.645764
0.020000,5.063501,6.086317,2.771509,1.157249,0.014028,0.357045,3.655499
0.020000,5.043401,6.074841,2.794655,1.157264,0.000743,-0.664235,3.665240
0.020000,5.023411,6.063169,2.817803,1.157433,0.008421,0.383906,3.674986
0.020000,5.003537,6.051302,2.840950,1.157336,-0.004812,-0.661656,3.684731
0.020000,4.983779,6.039243,2.864098,1.157379,0.002126,0.346885,3.694474
0.020000,4.964143,6.026993,2.887241,1.157180,-0.009922,-0.602384,3.704209
0.020000,4.944629,6.014555,2.910383,1.157088,-0.004614,0.265390,3.713934
0.020000,4.925241,6.001930,2.933519,1.156794,-0.014710,-0.504805,3.723645
0.020000,4.905981,5.989120,2.956650,1.156562,-0.011577,0.156674,3.733338
0.020000,4.886851,5.976129,2.979774,1.156177,-0.019280,-0.385167,3.743010
0.020000,4.867855,5.962958,3.002890,1.155806,-0.018564,0.035787,3.752657
0.020000,4.848994,5.949610,3.025996,1.155331,-0.023715,-0.257545,3.762276
0.020000,4.830270,5.936087,3.049093,1.154823,-0.025404,-0.084440,3.771863
0.020000,4.811685,5.922392,3.072178,1.154262,-0.028081,-0.133850,3.781415
0.020000,4.793242,5.908529,3.095251,1.153623,-0.031948,-0.193361,3.790928
0.020000,4.774942,5.894499,3.118310,1.152974,-0.032425,-0.023863,3.800400
0.020000,4.756787,5.880306,3.141354,1.152213,-0.038075,-0.282455,3.809826
0.020000,4.738778,5.865952,3.164384,1.151477,-0.036781,0.064681,3.819205
0.020000,4.720917,5.851442,3.187396,1.150620,-0.042859,-0.303890,3.828532
0.020000,4.703205,5.836776,3.210392,1.149763,-0.042819,0.001989,3.837805
0.020000,4.685644,5.821960,3.233368,1.148833,-0.046528,-0.185441,3.847022
0.020000,4.668234,5.806995,3.256326,1.147867,-0.048290,-0.088116,3.856178
0.020000,4.650977,5.791886,3.279263,1.146863,-0.050219,-0.096450,3.865272
0.020000,4.633873,5.776634,3.302179,1.145801,-0.053067,-0.142398,3.874300
0.020000,4.616923,5.761245,3.325073,1.144722,-0.053967,-0.044983,3.883262
0.020000,4.600127,5.745719,3.347945,1.143583,-0.056957,-0.149504,3.892153
0.020000,4.583487,5.730062,3.370793,1.142421,-0.058098,-0.057060,3.900972
0.020000,4.567002,5.714276,3.393618,1.141217,-0.060217,-0.105960,3.909716
0.020000,4.550673,5.698364,3.416417,1.139982,-0.061723,-0.075309,3.918384
0.020000,4.534500,5.682330,3.439192,1.138714,-0.063390,-0.083347,3.926973
0.020000,4.518483,5.666176,3.461940,1.137422,-0.064622,-0.061600,3.935483
